Postition in as		Voltage		Time
-50.0		0.271197509765625		Tue Oct 15 12:55:41 2019
0.0		0.348236083984375		Tue Oct 15 12:55:49 2019
50.0		0.447003173828125		Tue Oct 15 12:55:57 2019
100.0		0.535137939453125		Tue Oct 15 12:56:05 2019
150.0		0.6205810546875		Tue Oct 15 12:56:14 2019
200.0		0.6929443359375		Tue Oct 15 12:56:22 2019
250.0		0.74517822265625		Tue Oct 15 12:56:30 2019
300.0		0.7908935546875		Tue Oct 15 12:56:38 2019
350.0		0.819805908203125		Tue Oct 15 12:56:47 2019
400.0		0.82322998046875		Tue Oct 15 12:56:55 2019
450.0		0.82276611328125		Tue Oct 15 12:57:03 2019
500.0		0.797088623046875		Tue Oct 15 12:57:11 2019
550.0		0.743890380859375		Tue Oct 15 12:57:20 2019
600.0		0.68851318359375		Tue Oct 15 12:57:27 2019
650.0		0.621905517578125		Tue Oct 15 12:57:37 2019
700.0		0.541339111328125		Tue Oct 15 12:57:46 2019
750.0		0.459246826171875		Tue Oct 15 12:57:54 2019
800.0		0.38355712890625		Tue Oct 15 12:58:02 2019
850.0		0.30247802734375		Tue Oct 15 12:58:10 2019
900.0		0.224066162109375		Tue Oct 15 12:58:18 2019
950.0		0.159014892578125		Tue Oct 15 12:58:27 2019
1000.0		0.1002197265625		Tue Oct 15 12:58:34 2019
1050.0		0.062750244140625		Tue Oct 15 12:58:43 2019
1100.0		0.041400146484375		Tue Oct 15 12:58:51 2019
1150.0		0.041534423828125		Tue Oct 15 12:58:59 2019
1200.0		0.058978271484375		Tue Oct 15 12:59:07 2019
1250.0		0.098260498046875		Tue Oct 15 12:59:16 2019
1300.0		0.150347900390625		Tue Oct 15 12:59:24 2019
1350.0		0.230267333984375		Tue Oct 15 12:59:32 2019
1400.0		0.315203857421875		Tue Oct 15 12:59:40 2019
1450.0		0.40648193359375		Tue Oct 15 12:59:48 2019
1500.0		0.4998046875		Tue Oct 15 12:59:57 2019
1500.0		0.5048095703125		Tue Oct 15 13:00:04 2019
1450.0		0.40902099609375		Tue Oct 15 13:00:13 2019
1400.0		0.316412353515625		Tue Oct 15 13:00:21 2019
1350.0		0.233282470703125		Tue Oct 15 13:00:29 2019
1300.0		0.15977783203125		Tue Oct 15 13:00:38 2019
1250.0		0.103961181640625		Tue Oct 15 13:00:46 2019
1200.0		0.06180419921875		Tue Oct 15 13:00:54 2019
1150.0		0.04234619140625		Tue Oct 15 13:01:02 2019
1100.0		0.04205322265625		Tue Oct 15 13:01:10 2019
1050.0		0.062054443359375		Tue Oct 15 13:01:18 2019
1000.0		0.09931640625		Tue Oct 15 13:01:27 2019
950.0		0.155364990234375		Tue Oct 15 13:01:35 2019
900.0		0.2224853515625		Tue Oct 15 13:01:43 2019
850.0		0.29154052734375		Tue Oct 15 13:01:51 2019
800.0		0.383319091796875		Tue Oct 15 13:01:59 2019
750.0		0.459307861328125		Tue Oct 15 13:02:08 2019
700.0		0.54249267578125		Tue Oct 15 13:02:16 2019
650.0		0.622711181640625		Tue Oct 15 13:02:24 2019
